id,date,proposalx,d1e1,d2e1,d3e1,turnoutx,titel_kurz_d,age,age_category,part,vote_x,educ
1220117.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,37.0,class35,did not,,5
1220118.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,69.0,class65,did not,,5
1220119.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,57.0,class55,did not,,5
1220120.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,20.0,class18,did not,,4
1220121.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,70.0,class65,did,don’t know,99
1220122.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,68.0,class65,did,yes (accepted),8
1220123.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,63.0,class55,did,no (rejected),5
1220124.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,80.0,class75,did not,,5
1220125.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,72.0,class65,did not,,5
1220126.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,69.0,class65,did,yes (accepted),5
1220127.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,67.0,class65,did,voted blank / did not vote for this voting proposal,5
1220128.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,73.0,class65,did,no (rejected),5
1220129.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,62.0,class55,did,no (rejected),5
1220130.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,80.0,class75,did,voted blank / did not vote for this voting proposal,2
1220131.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,68.0,class65,did,no (rejected),5
1220132.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,72.0,class65,did,yes (accepted),5
1220133.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,74.0,class65,did not,,4
1220134.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,84.0,class75,did,no (rejected),8
1220135.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,58.0,class55,did,no (rejected),5
1220136.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,29.0,class25,did not,,9
1220137.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,83.0,class75,did not,,5
1220138.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,83.0,class75,did,voted blank / did not vote for this voting proposal,5
1220139.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,23.0,class18,did,don’t know,5
1220140.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,67.0,class65,did,no (rejected),5
1220141.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,74.0,class65,did,no (rejected),6
1220142.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,63.0,class55,did,don’t know,5
1220143.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,67.0,class65,did,no (rejected),5
1220144.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,68.0,class65,did not,,6
1220145.0,2016-09-25,605,9,7,NaN,42.998523413,Initiative «Grüne Wirtschaft»,69.0,class65,did,no (rejected),5
